,Marka,Model,EAN,RAM,Flash,SIMM,Kolor,mgsm,source
1175,Xiaomi,Mi A2,6941059609889,null,null,null,null,https://www.mgsm.pl/pl/katalog/Xiaomi/MiA2/,null
1176,Nokia,6.1,6438409015013,3 GB,32 GB,2,null,https://www.mgsm.pl/pl/katalog/Nokia/6.1,https://www.euro.com.pl/telefony-komorkowe/nokia-6-1-dual-sim-bialy.bhtml#afterSearch-6438409015013||||product
1177,Nokia,6.1,6438409012869,3 GB,32 GB,2,null,https://www.mgsm.pl/pl/katalog/Nokia/6.1,https://www.euro.com.pl/telefony-komorkowe/nokia-6-1-dual-sim-czarny.bhtml#afterSearch-6438409012869||||product
1178,Sony,Xperia XA2 Plus Dual SIM,7311271619819,null,null,null,null,https://www.mgsm.pl/pl/katalog/Sony/XperiaXA2PlusDualSIM/,null
1179,Sharp,Aquos C10,4974019975238,null,null,null,null,https://www.mgsm.pl/pl/katalog/Sharp/AquosC10/,null
1180,Sharp,B10,4974019975221,null,null,null,null,https://www.mgsm.pl/pl/katalog/Sharp/B10/,null
1181,Nokia,5.1 Plus,6438409022219,3 GB,32 GB,2,null,https://www.mgsm.pl/pl/katalog/Nokia/5.1Plus,https://www.euro.com.pl/telefony-komorkowe/nokia-5-1-plus-ta-1105-czarny.bhtml#afterSearch-6438409022219||||product
1182,Nokia,5.1 Plus,6438409022226,3 GB,32 GB,2,null,https://www.mgsm.pl/pl/katalog/Nokia/5.1Plus,https://www.euro.com.pl/telefony-komorkowe/nokia-5-1-plus-ta-1105-niebieski.bhtml#afterSearch-6438409022226||||product
1183,Xiaomi,Mi A2 Lite,6941059608714,3 GB,32 GB,2,null,https://www.mgsm.pl/pl/katalog/Xiaomi/MiA2Lite/,https://www.euro.com.pl/telefony-komorkowe/xiaomi-mi-a2-lite-32gb-zloty.bhtml#afterSearch-6941059608714||||product
1184,Xiaomi,Mi A2 Lite,6941059608738,3 GB,32 GB,2,null,https://www.mgsm.pl/pl/katalog/Xiaomi/MiA2Lite/,https://www.euro.com.pl/telefony-komorkowe/xiaomi-mi-a2-lite-32gb-niebieski.bhtml#afterSearch-6941059608738||||product
1185,Xiaomi,Mi A2 Lite,6941059608721,3 GB,32 GB,2,null,https://www.mgsm.pl/pl/katalog/Xiaomi/MiA2Lite/,https://www.euro.com.pl/telefony-komorkowe/xiaomi-mi-a2-lite-32gb-czarny.bhtml#afterSearch-6941059608721||||product
1186,Xiaomi,Mi A2 Lite,6941059608684,4 GB,64 GB,2,null,https://www.mgsm.pl/pl/katalog/Xiaomi/MiA2Lite/,https://www.euro.com.pl/telefony-komorkowe/xiaomi-mi-a2-lite-64gb-zloty.bhtml#afterSearch-6941059608684||||product
1187,Xiaomi,Mi A2 Lite,6941059608707,4 GB,64 GB,2,null,https://www.mgsm.pl/pl/katalog/Xiaomi/MiA2Lite/,https://www.euro.com.pl/telefony-komorkowe/xiaomi-mi-a2-lite-64gb-niebieski.bhtml#afterSearch-6941059608707||||product
1188,Xiaomi,Mi A2 Lite,6941059608691,4 GB,64 GB,2,null,https://www.mgsm.pl/pl/katalog/Xiaomi/MiA2Lite/,https://www.euro.com.pl/telefony-komorkowe/xiaomi-mi-a2-lite-64gb-czarny.bhtml#afterSearch-6941059608691||||product
1189,Alcatel,5V,4894461778105,3 GB,32 GB,2,null,https://www.mgsm.pl/pl/katalog/Alcatel/5V/,https://www.euro.com.pl/telefony-komorkowe/alcatel-5v-5060d-niebieski.bhtml#afterSearch-4894461778105||||product
1190,Alcatel,5V,4894461775340,3 GB,32 GB,2,null,https://www.mgsm.pl/pl/katalog/Alcatel/5V/,https://www.euro.com.pl/telefony-komorkowe/alcatel-5v-5060d-czarny.bhtml#afterSearch-4894461775340||||product
1191,LG,Q7 Dual,8806087033366,null,null,null,null,https://www.mgsm.pl/pl/katalog/LG/Q7Dual/,null
1192,Xiaomi,Mi Max 3,6941059609728,null,null,null,null,https://www.mgsm.pl/pl/katalog/Xiaomi/MiMax3/,null
1193,Huawei,Nova 3 Dual SIM,6901443240890,4 GB,128 GB,2,null,https://www.mgsm.pl/pl/katalog/Huawei/Nova3DualSIM/,https://www.euro.com.pl/telefony-komorkowe/huawei-nova-3-czarny.bhtml#afterSearch-6901443240890||||product
1194,Huawei,Nova 3 Dual SIM,6901443240913,4 GB,128 GB,2,null,https://www.mgsm.pl/pl/katalog/Huawei/Nova3DualSIM/,https://www.euro.com.pl/telefony-komorkowe/huawei-nova-3-purpurowy.bhtml#afterSearch-6901443240913||||product
1195,Huawei,P Smart+ Dual SIM,6901443251551,4 GB,64 GB,2,null,null,https://www.euro.com.pl/telefony-komorkowe/huawei-p-smart-iris-purple.bhtml#afterSearch-6901443251551||||product
1196,Samsung,Galaxy Note 9 Dual SIM,8801643423469,6 GB,128 GB,2,null,https://www.mgsm.pl/pl/katalog/Samsung/GalaxyNote9DualSIM/,https://www.euro.com.pl/telefony-komorkowe/samsung-galaxy-note9-sm-n960f-czarny.bhtml#afterSearch-8801643423469||||product
1197,Samsung,Galaxy Note 9 Dual SIM,8801643423872,6 GB,128 GB,2,null,https://www.mgsm.pl/pl/katalog/Samsung/GalaxyNote9DualSIM/,https://www.euro.com.pl/telefony-komorkowe/samsung-galaxy-note9-sm-n960f-niebieski.bhtml#afterSearch-8801643423872||||product
1198,Samsung,Galaxy Note 9 Dual SIM,8801643423391,6 GB,128 GB,2,null,https://www.mgsm.pl/pl/katalog/Samsung/GalaxyNote9DualSIM/,https://www.euro.com.pl/telefony-komorkowe/samsung-galaxy-note9-sm-n960f-purpurowy.bhtml#afterSearch-8801643423391||||product
1199,Samsung,Galaxy Note 9 Dual SIM,8801643519469,8 GB,512 GB,2,null,https://www.mgsm.pl/pl/katalog/Samsung/GalaxyNote9DualSIM/,https://www.euro.com.pl/telefony-komorkowe/samsung-galaxy-note9-512gb-sm-n960f-czarny.bhtml#afterSearch-8801643519469||||product
